user_id,product_id,event_type,time_id,price
541312140,44600062,view,0,35.79
554748717,3900821,view,0,33.2
519107250,17200506,view,2,543.1
550050854,1307067,view,2,251.74
535871217,1004237,view,4,1081.98
512742880,1480613,view,5,908.62
555447699,17300353,view,6,380.96
550978835,31500053,view,6,41.16
520571932,28719074,view,8,102.71
537918940,1004545,view,9,566.01
555158050,2900536,view,9,51.46
530282093,1005011,view,9,900.64
555444559,3900746,view,12,102.38
541312140,44600062,view,13,35.79
555446365,13500240,view,14,93.18
513642368,23100006,view,15,357.79
537192226,1801995,view,16,193.03
519528062,10900029,view,16,58.95
550050854,1306631,view,18,580.89
535871217,1005135,view,18,1747.79
555446831,1003306,view,20,588.77
555428858,4803399,view,20,33.21
512742880,1480714,view,22,921.49
519530528,1004739,view,23,197.55
538645907,6200260,view,23,47.62
555446831,1003306,view,25,588.77
539512263,34700031,view,25,151.87
554748717,3900990,view,27,122.18
555217733,27500014,view,27,37.98
525734504,19001139,view,27,67.58
520571932,28719071,view,30,102.71
555446365,13500046,view,30,60.75
550978835,31501072,view,32,165.64
539194858,10800001,view,32,32.92
555447224,28600026,view,34,399.73
548449430,26200591,view,34,203.35
555447570,28714755,view,34,51.22
515342595,3701388,view,37,33.21
555444559,3900746,view,38,102.38
545323115,28718079,view,38,66.67
521242564,2700239,view,40,283.12
513798668,28717908,view,40,102.45
555447748,26200591,view,42,203.35
515535834,3701244,view,43,33.44
544648245,4300070,view,43,38.59
526631741,3601505,view,43,463.15
515454339,12712064,view,46,30.89
554754045,3600575,view,46,275.37
533078094,2900475,view,46,295.99
512558158,1004767,view,46,254.82
547028884,1701111,view,50,514.79
551377651,1003141,view,51,382.97
555428858,4803399,view,52,33.21
551331813,26400291,view,52,188.94
535871217,1005135,view,54,1747.79
513642368,23100006,view,55,357.79
550978835,31501163,view,55,128.45
532085144,1002544,view,55,464.13
525856698,26500313,view,55,267.19
555446365,13500041,view,59,80.31
519885473,4100126,view,59,326.62
525734504,19000296,view,61,64.93
555447577,28717211,view,61,76.96
529755884,1005105,view,61,1415.48
542378517,1307135,view,61,320.35
555217733,27500014,view,65,37.98
512558158,1004659,view,66,787.18
541366014,4804295,view,67,23.13
555447651,1004873,view,68,388.81
543427258,1005073,view,68,1207.71
514808401,4802639,view,70,218.77
555444559,3900930,view,71,90.32
515342595,3701062,view,71,90.07
523239174,4300262,view,71,72.0
555217733,27500015,view,74,36.6
514080443,10900026,view,74,40.8
516489361,1004870,view,76,286.86
550050854,1306083,view,77,1512.78
542378517,1307004,view,78,290.61
555447788,1004856,view,78,130.76
515630204,27700113,view,80,48.9
512558158,1004659,view,81,787.18
519107250,15100337,view,82,257.15
519885473,4100126,view,83,326.62
546259103,1004836,view,84,241.19
525856698,26500144,view,85,259.21
512558158,1004659,view,86,787.18
513696314,32601078,view,86,32.18
537918940,1801555,view,88,462.25
550859983,1004497,view,89,159.33
513642368,50500080,view,90,77.69
515757896,1004856,view,90,130.76
